"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"87","enthusiastic",6.25,1.39136531360295,7.55,1.61,2.78,"positive","neutral",12
"88","euphoric",5,2.3094010767585,7.8,1.4,0.41,"positive","neutral",8
"89","excruciating",3,2.72029410174709,2.1,1.51,1.31,"negative","neutral",12
"90","exhilarating",5.175,1.82416120520202,7.39,1.2,1.12,"positive","abstract",12
"91","exotic",3.6,0.894427190999916,7.55,1.57,6,"positive","neutral",6
"92","exquisite",4.59090909090909,1.8428521091243,7.53,1.26,4.18,"positive","abstract",9
"93","extinct",1.85714285714286,1.4638501094228,2.74,1.37,2.51,"negative","neutral",7
"94","extraordinary",5.72727272727273,1.42062726222673,7.45,1.39,15.12,"positive","neutral",13
"95","fabulous",5.4,1.34164078649987,7.84,1.54,20.51,"positive","neutral",8
"96","faceless",2.95454545454545,2.10390278444773,2.58,1.74,0.73,"negative","neutral",8
"97","faithful",6.85714285714286,0.377964473009227,7.95,1.07,9.12,"positive","neutral",8
"98","fascinating",5.28571428571429,1.38013111868471,7.37,1.26,15.08,"positive","abstract",11
"99","fashionable",4.27272727272727,2.10194714923611,7.33,1.43,1.92,"positive","abstract",11
"100","fecal",2.2,1.55579973663477,2.4,1.14,0.59,"negative","neutral",5
"101","feminine",4,0.707106781186548,7.33,1.52,4.57,"positive","neutral",8
"102","festive",4.975,1.74660843512249,7.14,1.46,1.92,"positive","neutral",7
"103","flattering",5.525,1.88090949086353,7.14,1.2,3.82,"positive","neutral",10
"104","floral",2,1.73205080756888,7.42,1.3,0.73,"positive","neutral",6
"105","flowery",3.04545454545455,2.23558392771005,7.47,1.22,0.67,"positive","neutral",7
"106","fluffy",1,0,7.11,1.29,3.63,"positive","neutral",6
"107","fragrant",2.09090909090909,2.02259958738973,7.05,1.18,0.71,"positive","neutral",8
"108","fraught",6.14285714285714,1.4638501094228,2.94,1.47,0.69,"negative","neutral",7
"109","frightening",4.81818181818182,2.27236360726807,2.58,1.61,5.76,"negative","neutral",11
"110","fruitful",3.4,0.894427190999916,7.11,1.49,0.92,"positive","neutral",8
"111","fruitless",2.57142857142857,1.39727626201154,2.95,1.32,0.45,"negative","neutral",9
"112","frustrating",3.8,1.92353840616713,2.57,1.43,2.47,"negative","abstract",11
"113","furious",4.4,2.40831891575846,2.57,1.6,6,"negative","neutral",7
"114","generous",5.8,0.836660026534076,7.43,1.83,16.71,"positive","neutral",8
"115","gentle",4.54545454545455,2.30377067160759,7.42,1.72,16.55,"positive","neutral",6
"116","golden",2.57142857142857,1.39727626201154,7.79,1.44,23.27,"positive","neutral",6
"117","gorgeous",2.36363636363636,2.46059859679417,7.57,1.66,24.06,"positive","neutral",8
"118","gory",2.575,1.97273076385671,2.57,1.66,0.73,"negative","neutral",4
"119","gracious",6,2.1380899352994,7.23,1.23,7.16,"positive","neutral",8
"120","greedy",6.6,0.547722557505166,2.1,1.48,6.63,"negative","neutral",6
"121","grim",5.4,1.51657508881031,2.41,1.14,4.78,"negative","abstract",4
