Word,V.Mean.Sum,V.SD.Sum,SUBTLWF,Valence,Concreteness,word_length
deathly,1.95,1.18,0.55,negative,abstract,7
stingy,2.53,1.47,1.24,negative,abstract,6
unbearable,2.1,0.94,2.53,negative,abstract,10
hectic,2.8,1.15,1.84,negative,abstract,6
inadequate,2.57,1.21,1.86,negative,abstract,10
disgraceful,2.35,1.35,1.82,negative,abstract,11
unfaithful,2.33,1.75,2.35,negative,abstract,10
dishonorable,2.33,1.28,0.63,negative,abstract,12
negligent,2.05,1.28,1.0,negative,abstract,9
unpleasant,2.53,1.43,6.1,negative,abstract,10
stressful,2.62,1.36,2.51,negative,abstract,9
unfit,2.95,1.39,1.55,negative,abstract,5
incurable,1.9,1.61,1.02,negative,abstract,9
pathological,2.71,1.45,1.47,negative,abstract,12
humiliating,2.16,1.57,5.88,negative,abstract,11
loveless,2.59,1.89,0.45,negative,abstract,8
meaningless,2.95,1.39,4.86,negative,abstract,11
uneasy,2.86,1.04,2.08,negative,abstract,6
demeaning,2.62,1.28,0.86,negative,abstract,9
uncooperative,2.86,1.46,0.63,negative,abstract,13
insecure,2.3,1.44,4.06,negative,abstract,8
unreliable,2.74,1.19,1.67,negative,abstract,10
grim,2.41,1.14,4.78,negative,abstract,4
illegitimate,2.79,1.23,1.33,negative,abstract,12
disappointing,2.79,1.13,3.43,negative,abstract,13
frustrating,2.57,1.43,2.47,negative,abstract,11
depressing,2.48,1.69,6.35,negative,abstract,10
homicidal,2.0,1.2,2.02,negative,abstract,9
traitorous,2.32,1.11,0.47,negative,abstract,10
crappy,2.35,1.57,4.96,negative,abstract,6
unappreciated,2.65,1.46,0.47,negative,abstract,13
disloyal,2.27,1.22,0.96,negative,abstract,8
pitiful,2.89,1.24,3.84,negative,abstract,7
ungrateful,2.68,1.45,4.61,negative,abstract,10
conceited,2.75,1.37,1.84,negative,abstract,9
unethical,2.19,1.36,1.76,negative,abstract,9
immoral,2.79,1.47,2.61,negative,abstract,7
discriminating,2.33,1.15,0.49,negative,abstract,14
inconvenient,2.73,1.16,1.63,negative,abstract,12
despicable,2.76,1.45,2.1,negative,abstract,10
unforgiving,2.41,1.59,0.51,negative,abstract,11
unforgivable,2.33,1.61,1.96,negative,abstract,12
