,Word,ConcValCombo_moderate,ConcValCombo_extreme,V.Mean.Sum,Conc.M
186,bullheaded,neutral-negative,neutral-neutral,3.42,2.46
187,bullpen,concrete-neutral,concrete-neutral,5.15,4.6
188,burn,concrete-negative,neutral-neutral,3.73,4.11
189,burp,concrete-neutral,neutral-neutral,5.38,4.34
190,burst,neutral-neutral,neutral-neutral,5.43,3.1
191,bury,neutral-negative,neutral-negative,1.95,3.82
192,bust,neutral-neutral,neutral-neutral,4.77,3.73
193,bustle,neutral-neutral,neutral-neutral,5.29,2.54
194,buy,neutral-positive,neutral-neutral,6.82,3.35
195,calculate,neutral-neutral,neutral-neutral,4.89,2.74
196,call,neutral-positive,neutral-neutral,6.18,4.0
197,calm,neutral-positive,neutral-neutral,6.89,2.83
198,can,concrete-positive,concrete-neutral,6.41,4.55
199,cancel,neutral-negative,neutral-neutral,3.61,2.41
200,capitalize,neutral-neutral,neutral-neutral,5.95,2.29
201,capture,neutral-neutral,neutral-neutral,5.05,3.21
202,care,neutral-positive,neutral-positive,7.64,2.33
203,caress,concrete-positive,neutral-neutral,6.82,4.14
204,carjack,concrete-negative,neutral-neutral,2.32,4.39
205,carry,concrete-neutral,neutral-neutral,5.67,4.04
206,carve,neutral-neutral,neutral-neutral,5.09,3.69
207,cast,neutral-neutral,neutral-neutral,5.26,3.92
208,castrate,neutral-negative,neutral-neutral,2.19,3.82
209,catch,concrete-neutral,neutral-neutral,5.64,4.11
210,cater,neutral-neutral,neutral-neutral,5.73,3.07
211,cease,neutral-negative,neutral-neutral,3.95,2.39
212,celebrate,neutral-positive,neutral-positive,7.84,2.9
213,censor,neutral-neutral,neutral-neutral,4.1,3.0
214,centipede,concrete-negative,concrete-neutral,3.95,4.79
215,certify,neutral-neutral,neutral-neutral,5.89,2.55
216,change,neutral-neutral,neutral-neutral,5.09,2.89
217,characterize,abstract-neutral,neutral-neutral,5.5,2.0
218,cheat,neutral-negative,neutral-neutral,3.05,2.23
219,check,concrete-positive,neutral-neutral,6.55,4.11
220,checkmate,neutral-neutral,neutral-neutral,5.14,3.36
221,cheer,neutral-positive,neutral-positive,7.1,2.77
222,cherish,abstract-positive,neutral-neutral,6.75,1.73
223,chew,neutral-neutral,neutral-neutral,5.58,3.93
224,chime,concrete-positive,neutral-neutral,6.05,4.4
225,chirp,neutral-neutral,neutral-neutral,5.9,4.0
226,chisel,concrete-neutral,concrete-neutral,5.25,4.63
227,choke,neutral-negative,neutral-neutral,2.42,3.97
228,choose,neutral-neutral,neutral-neutral,6.0,2.62
229,christen,neutral-neutral,neutral-neutral,5.7,2.79
230,chuck,neutral-neutral,neutral-neutral,5.06,3.82
231,chug,neutral-neutral,neutral-neutral,5.2,3.68
232,churn,neutral-neutral,neutral-neutral,4.84,4.0
233,circulate,neutral-neutral,neutral-neutral,5.19,2.88
234,circumvent,neutral-neutral,neutral-neutral,5.0,2.25
235,cite,neutral-neutral,neutral-neutral,4.95,3.07
236,claim,neutral-neutral,neutral-neutral,5.15,2.96
237,clamp,concrete-neutral,concrete-neutral,4.6,4.53
238,clap,concrete-positive,neutral-neutral,6.05,4.16
239,clarify,neutral-neutral,neutral-neutral,6.0,2.07
240,classify,neutral-neutral,neutral-neutral,5.6,2.41
241,cleanse,neutral-positive,neutral-neutral,6.65,3.31
242,clench,concrete-negative,neutral-neutral,3.68,4.25
243,click,concrete-neutral,neutral-neutral,5.7,4.03
244,climb,concrete-neutral,neutral-neutral,5.62,4.11
245,cling,neutral-neutral,neutral-neutral,4.8,3.59
246,clobber,neutral-negative,neutral-neutral,4.0,3.55
247,clothe,neutral-neutral,neutral-neutral,5.74,3.5
248,coax,neutral-neutral,neutral-neutral,5.26,2.7
249,coerce,neutral-negative,neutral-neutral,3.32,2.04
250,coexist,neutral-neutral,neutral-neutral,5.95,2.25
251,coincide,neutral-neutral,neutral-neutral,5.27,2.26
252,collaborate,abstract-positive,neutral-neutral,6.15,1.81
253,collapse,neutral-negative,neutral-neutral,3.37,3.67
254,collect,neutral-neutral,neutral-neutral,5.9,3.34
255,collide,neutral-negative,neutral-neutral,3.1,4.0
256,comb,concrete-neutral,concrete-neutral,5.65,5.0
257,combine,neutral-neutral,neutral-neutral,4.84,3.41
258,come,neutral-neutral,neutral-neutral,5.64,2.72
259,commandeer,neutral-neutral,neutral-neutral,4.43,3.7
260,commemorate,neutral-neutral,neutral-neutral,5.74,2.2
261,commence,neutral-neutral,neutral-neutral,5.32,2.83
262,commend,neutral-positive,neutral-positive,7.0,2.14
263,commit,neutral-neutral,neutral-neutral,5.85,2.17
264,communicate,neutral-positive,neutral-neutral,6.28,3.43
265,commute,neutral-neutral,neutral-neutral,4.14,3.79
266,compare,neutral-neutral,neutral-neutral,5.09,2.52
267,compel,abstract-neutral,neutral-neutral,4.89,1.83
268,compensate,neutral-positive,neutral-neutral,6.36,2.65
269,compete,neutral-neutral,neutral-neutral,5.35,2.57
270,compile,neutral-neutral,neutral-neutral,5.21,2.64
271,complain,neutral-negative,neutral-neutral,3.1,2.6
272,complicate,abstract-negative,neutral-neutral,3.3,1.65
273,comply,neutral-neutral,neutral-neutral,4.25,2.19
274,compose,neutral-neutral,neutral-neutral,5.64,2.83
275,comprehend,abstract-positive,neutral-neutral,6.57,1.86
276,compromise,abstract-neutral,neutral-neutral,5.62,1.8
277,compute,neutral-neutral,neutral-neutral,5.74,2.39
278,conceal,neutral-negative,neutral-neutral,3.95,3.19
279,concede,abstract-neutral,neutral-neutral,4.48,1.96
280,conceive,neutral-neutral,neutral-neutral,5.63,2.04
281,concentrate,neutral-positive,neutral-neutral,6.46,2.48
282,conclude,abstract-neutral,neutral-neutral,4.81,1.78
283,concur,neutral-neutral,neutral-neutral,6.0,2.08
284,condemn,abstract-negative,neutral-neutral,2.62,1.96
285,condone,abstract-neutral,neutral-neutral,5.1,1.79
286,conduct,neutral-neutral,neutral-neutral,5.21,2.08
287,confer,neutral-neutral,neutral-neutral,5.09,2.35
288,confess,neutral-neutral,neutral-neutral,4.85,2.57
289,confide,abstract-positive,neutral-neutral,6.21,1.81
290,confine,neutral-negative,neutral-neutral,3.0,3.07
291,confirm,neutral-neutral,neutral-neutral,5.76,2.15
292,confiscate,neutral-negative,neutral-neutral,3.59,3.13
293,conform,abstract-neutral,neutral-neutral,4.78,1.83
294,confound,neutral-negative,neutral-neutral,3.85,2.22
295,confront,neutral-neutral,neutral-neutral,4.59,2.43
296,confuse,neutral-neutral,neutral-neutral,4.5,2.04
297,confused,neutral-negative,neutral-neutral,3.11,2.33
298,congratulate,neutral-positive,neutral-neutral,6.33,3.04
299,conjure,neutral-neutral,neutral-neutral,5.05,2.3
300,connect,neutral-positive,neutral-neutral,6.61,2.88
301,conquer,neutral-neutral,neutral-neutral,4.29,2.9
302,conserve,abstract-neutral,neutral-neutral,5.9,1.96
303,consider,abstract-positive,neutral-neutral,6.56,1.68
304,consist,neutral-neutral,neutral-neutral,5.21,2.07
305,console,neutral-positive,neutral-neutral,6.53,3.86
306,consolidate,neutral-neutral,neutral-neutral,4.8,2.72
307,consort,neutral-neutral,neutral-neutral,5.1,2.67
308,conspire,neutral-negative,neutral-neutral,3.9,2.67
309,constitute,neutral-neutral,neutral-neutral,4.57,2.13
310,construct,neutral-neutral,neutral-neutral,5.4,2.6
311,consult,neutral-neutral,neutral-neutral,5.41,3.04
312,consume,neutral-neutral,neutral-neutral,5.48,3.41
313,consummate,neutral-positive,neutral-neutral,6.1,2.08
314,contain,neutral-neutral,neutral-neutral,5.0,2.74
315,contaminate,neutral-negative,neutral-neutral,3.53,3.1
316,contemplate,abstract-neutral,neutral-neutral,5.48,1.71
317,contend,neutral-neutral,neutral-neutral,5.37,2.07
318,continue,neutral-neutral,neutral-neutral,5.61,2.36
319,contradict,neutral-negative,neutral-neutral,3.58,2.24
320,contribute,neutral-positive,neutral-neutral,6.15,2.13
321,convene,neutral-neutral,neutral-neutral,5.0,2.79
322,converge,neutral-neutral,neutral-neutral,4.53,2.65
323,converse,neutral-neutral,neutral-neutral,5.37,2.85
324,convert,neutral-neutral,neutral-neutral,5.11,2.73
325,convey,abstract-neutral,neutral-neutral,5.1,1.72
326,convict,concrete-negative,neutral-neutral,2.28,4.11
327,convince,abstract-neutral,neutral-neutral,5.45,1.85
328,cook,concrete-positive,neutral-positive,7.12,4.32
329,cooperate,abstract-positive,neutral-neutral,6.39,1.87
330,coordinate,neutral-neutral,neutral-neutral,5.5,2.36
331,cope,abstract-neutral,neutral-neutral,5.1,1.78
332,correspond,neutral-neutral,neutral-neutral,5.75,2.27
333,corroborate,abstract-neutral,neutral-neutral,5.5,1.76
334,cost,neutral-neutral,neutral-neutral,4.11,2.5
335,count,neutral-neutral,neutral-neutral,5.89,3.0
336,counteract,neutral-neutral,neutral-neutral,4.73,2.14
337,cover,concrete-neutral,neutral-neutral,5.59,4.23
338,covet,abstract-neutral,neutral-neutral,4.48,1.93
339,cram,neutral-neutral,neutral-neutral,4.68,2.71
340,crank,concrete-negative,concrete-neutral,3.85,4.5
341,crave,neutral-neutral,neutral-neutral,5.41,2.52
342,crawl,concrete-negative,neutral-neutral,3.95,4.27
343,creak,neutral-neutral,neutral-neutral,4.68,3.61
344,create,neutral-positive,neutral-positive,7.86,2.62
345,cringe,neutral-negative,neutral-neutral,3.24,3.34
346,criticize,neutral-negative,neutral-neutral,2.41,2.03
347,croak,neutral-negative,neutral-neutral,3.29,3.82
348,cross,concrete-neutral,neutral-neutral,5.67,4.44
349,crucify,neutral-negative,neutral-neutral,2.26,3.45
350,crumble,concrete-neutral,neutral-neutral,4.25,4.04
351,crushed,concrete-negative,neutral-neutral,2.87,4.21
352,cry,neutral-negative,neutral-neutral,3.22,4.0
353,cuddle,neutral-positive,neutral-positive,7.6,3.83
354,cultivate,neutral-neutral,neutral-neutral,5.73,3.14
355,curl,concrete-neutral,neutral-neutral,5.72,4.38
356,cut,concrete-negative,concrete-neutral,3.9,4.55
357,dabble,neutral-neutral,neutral-neutral,5.48,2.17
358,dance,concrete-positive,neutral-positive,7.27,4.32
359,dangle,neutral-neutral,neutral-neutral,4.76,3.36
360,dare,neutral-neutral,neutral-neutral,4.67,2.28
361,daresay,abstract-neutral,neutral-neutral,5.35,1.93
362,darken,neutral-neutral,neutral-neutral,4.45,3.3
363,dawdle,neutral-neutral,neutral-neutral,4.77,2.22
364,daydream,neutral-positive,neutral-positive,7.15,2.79
365,dazzle,neutral-positive,neutral-neutral,6.46,2.52
366,deactivate,neutral-negative,neutral-neutral,3.95,3.0
367,deceive,abstract-negative,neutral-neutral,2.95,1.68
368,decide,abstract-positive,neutral-neutral,6.28,1.92
369,decipher,neutral-neutral,neutral-neutral,5.09,2.83
370,declare,abstract-neutral,neutral-neutral,5.42,2.0
371,decline,neutral-negative,neutral-neutral,3.19,2.76
372,decode,neutral-neutral,neutral-neutral,5.5,3.0
373,decompose,neutral-negative,neutral-neutral,2.42,3.0
374,decompress,neutral-neutral,neutral-neutral,4.43,2.59
375,decorate,neutral-positive,neutral-neutral,6.26,3.4
376,decrease,neutral-neutral,neutral-neutral,4.16,2.68
377,dedicate,neutral-positive,neutral-neutral,6.48,2.69
378,deduce,abstract-neutral,neutral-neutral,5.29,1.61
379,deduct,neutral-neutral,neutral-neutral,4.24,2.31
380,deem,neutral-neutral,neutral-neutral,4.74,2.1
381,defeat,neutral-negative,neutral-neutral,3.74,2.96
382,defeated,neutral-negative,neutral-neutral,2.59,2.59
383,defend,neutral-positive,neutral-neutral,6.3,2.31
384,defer,abstract-neutral,neutral-neutral,4.5,1.92
385,define,neutral-neutral,neutral-neutral,5.57,2.15
386,deflect,neutral-neutral,neutral-neutral,5.1,3.25
387,defrost,neutral-neutral,neutral-neutral,4.86,3.9
388,defuse,neutral-neutral,neutral-neutral,5.78,2.54
389,defy,abstract-neutral,neutral-neutral,4.84,1.86
390,degrade,abstract-negative,neutral-neutral,2.62,1.64
391,delayed,neutral-negative,neutral-neutral,3.05,2.08
392,delete,neutral-negative,neutral-neutral,4.0,3.48
393,deliver,neutral-neutral,neutral-neutral,6.0,3.12
394,delude,neutral-negative,neutral-neutral,3.62,2.11
395,demand,neutral-neutral,neutral-neutral,4.1,2.2
396,demolish,neutral-negative,neutral-neutral,2.67,3.46
397,demonstrate,neutral-neutral,neutral-neutral,5.47,2.53
398,denounce,abstract-neutral,neutral-neutral,4.24,1.83
399,deny,neutral-negative,neutral-neutral,3.81,2.2
400,depart,neutral-neutral,neutral-neutral,4.05,2.86
401,depend,abstract-neutral,neutral-neutral,5.0,1.89
402,depict,neutral-neutral,neutral-neutral,4.74,2.13
403,deploy,neutral-neutral,neutral-neutral,4.25,2.96
404,deport,neutral-negative,neutral-neutral,3.14,3.41
405,depose,neutral-neutral,neutral-neutral,4.2,2.52
406,depress,neutral-negative,neutral-neutral,2.47,2.29
407,deprive,neutral-negative,neutral-neutral,3.37,2.21
408,derail,neutral-negative,neutral-neutral,3.86,3.55
409,derive,abstract-neutral,neutral-neutral,4.72,2.0
410,descend,neutral-neutral,neutral-neutral,4.67,3.18
411,describe,neutral-neutral,neutral-neutral,5.9,2.18
412,desecrate,neutral-negative,neutral-neutral,3.05,2.56
413,deserve,abstract-positive,neutral-neutral,6.77,1.69
414,designate,neutral-neutral,neutral-neutral,5.62,3.14
415,despise,neutral-negative,neutral-neutral,3.08,2.12
416,destroy,neutral-negative,neutral-neutral,2.67,3.08
417,detach,neutral-neutral,neutral-neutral,4.5,2.9
418,detached,neutral-negative,neutral-neutral,3.65,2.56
419,detain,neutral-negative,neutral-neutral,3.0,2.74
420,detect,neutral-neutral,neutral-neutral,5.09,2.19
421,deter,neutral-neutral,neutral-neutral,4.05,2.33
422,deteriorate,neutral-negative,neutral-neutral,3.64,3.0
423,determine,neutral-neutral,neutral-neutral,6.0,2.13
424,detest,neutral-negative,neutral-neutral,3.05,2.36
425,detonate,neutral-negative,neutral-neutral,3.26,3.19
426,develop,abstract-positive,neutral-neutral,6.05,1.87
427,deviate,neutral-neutral,neutral-neutral,5.1,2.1
428,devise,abstract-neutral,neutral-neutral,4.45,2.0
429,devote,abstract-neutral,neutral-neutral,5.53,2.0
430,devour,neutral-neutral,neutral-neutral,5.21,3.14
431,diagnose,abstract-neutral,neutral-neutral,5.0,1.92
432,dial,concrete-neutral,concrete-neutral,4.63,4.52
433,dictate,neutral-neutral,neutral-neutral,4.4,3.15
434,diddle,neutral-neutral,neutral-neutral,4.75,2.6
435,die,neutral-negative,neutral-negative,1.67,3.07
436,differ,abstract-neutral,neutral-neutral,5.1,1.59
437,diffuse,neutral-neutral,neutral-neutral,5.04,2.46
438,dig,concrete-neutral,neutral-neutral,5.28,4.33
439,dignify,abstract-neutral,neutral-neutral,5.68,1.71
440,dim,neutral-negative,neutral-neutral,3.37,3.31
441,diminish,neutral-neutral,neutral-neutral,4.05,2.5
442,dine,neutral-positive,neutral-neutral,6.6,3.37
443,dip,concrete-neutral,neutral-neutral,5.42,4.22
444,disable,neutral-negative,neutral-neutral,3.58,3.42
445,disagree,neutral-negative,neutral-neutral,2.84,2.77
446,disappear,neutral-neutral,neutral-neutral,4.1,2.86
447,disappoint,abstract-negative,neutral-neutral,3.38,1.89
448,disapprove,abstract-negative,neutral-neutral,3.55,1.89
449,disarm,neutral-neutral,neutral-neutral,4.38,3.55
450,disband,neutral-negative,neutral-neutral,4.0,2.62
451,discard,neutral-negative,neutral-neutral,4.0,3.04
452,disclose,neutral-negative,neutral-neutral,4.0,2.37
453,disconnect,neutral-negative,neutral-neutral,3.81,2.74
454,discontinue,neutral-negative,neutral-neutral,3.94,2.5
455,discourage,abstract-negative,neutral-neutral,3.05,1.9
456,discover,neutral-positive,neutral-positive,7.18,2.37
457,discredit,neutral-negative,neutral-neutral,3.14,2.28
458,discriminate,neutral-negative,neutral-neutral,3.18,2.54
459,discuss,neutral-neutral,neutral-neutral,5.89,3.17
460,disengage,neutral-neutral,neutral-neutral,4.05,2.69
461,disinfect,neutral-neutral,neutral-neutral,5.11,3.4
462,disintegrate,neutral-neutral,neutral-neutral,4.32,2.68
463,dislike,abstract-negative,neutral-neutral,3.25,1.7
464,dismantle,neutral-neutral,neutral-neutral,4.74,3.7
465,dismiss,neutral-neutral,neutral-neutral,4.58,2.39
466,dismount,neutral-neutral,neutral-neutral,5.05,3.72
467,disobey,neutral-negative,neutral-neutral,3.19,2.42
468,disown,abstract-negative,neutral-neutral,2.29,1.56
469,disparage,abstract-negative,neutral-neutral,3.0,1.83
470,dispatch,neutral-neutral,neutral-neutral,4.9,2.93
471,dispense,neutral-neutral,neutral-neutral,5.24,3.26
472,disperse,neutral-neutral,neutral-neutral,4.19,2.85
473,displace,neutral-negative,neutral-neutral,2.89,2.57
474,displease,abstract-negative,neutral-neutral,2.63,1.71
475,dispose,neutral-negative,neutral-neutral,4.0,3.59
476,disprove,neutral-negative,neutral-neutral,3.9,2.59
477,disqualify,neutral-negative,neutral-neutral,2.47,2.39
