"","Word","ID.true","Experiment","Task","LogReactionTime","Response","Accuracy","ConcValCombo","ExperimentType"
"31","annoy","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.79682371827486,"concrete",0,"abstract-negative","Categorization"
"32","scorn","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.13966033596492,"concrete",0,"abstract-negative","Categorization"
"33","scratch","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.64898455002478,"concrete",1,"concrete-negative","Categorization"
"34","fulfill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.83733281468559,"abstract",1,"abstract-positive","Categorization"
"35","kill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.25382881157547,"concrete",1,"concrete-negative","Categorization"
"36","enlighten","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.83733281468559,"abstract",1,"abstract-positive","Categorization"
"37","cuddle","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.62406522779989,"concrete",1,"concrete-positive","Categorization"
"38","murder","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.39692965521615,"concrete",1,"concrete-negative","Categorization"
"39","violate","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.84800527457636,"concrete",0,"abstract-negative","Categorization"
"40","befall","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.53087762772588,"concrete",0,"abstract-negative","Categorization"
"41","enlighten","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.72142570079064,"abstract",1,"abstract-positive","Categorization"
"42","worry","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.78671695060508,"abstract",1,"abstract-negative","Categorization"
"43","hope","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.05617528410041,"abstract",1,"abstract-positive","Categorization"
"44","hug","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.40025744530882,"concrete",1,"concrete-positive","Categorization"
"45","justify","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.59167373200866,"abstract",1,"abstract-positive","Categorization"
"46","build","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.61873898351722,"concrete",1,"concrete-positive","Categorization"
"47","scratch","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.77878489768518,"concrete",1,"concrete-negative","Categorization"
"48","obsess","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.29894924685594,"concrete",0,"abstract-negative","Categorization"
"49","befall","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.62804137617953,"abstract",1,"abstract-negative","Categorization"
"50","annoy","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68710860786651,"concrete",0,"abstract-negative","Categorization"
"51","stab","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68835471394676,"concrete",1,"concrete-negative","Categorization"
"52","cherish","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.61740297797448,"abstract",1,"abstract-positive","Categorization"
"53","smile","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.36818718635049,"concrete",1,"concrete-positive","Categorization"
"54","spit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.35088571671474,"concrete",1,"concrete-negative","Categorization"
"55","resent","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.36990098282823,"concrete",0,"abstract-negative","Categorization"
"56","sail","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4118182677099,"concrete",1,"concrete-positive","Categorization"
"57","kill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4831073514572,"concrete",1,"concrete-negative","Categorization"
"58","kiss","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.5875500148248,"concrete",1,"concrete-positive","Categorization"
"59","cuddle","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4377516497364,"concrete",1,"concrete-positive","Categorization"
"60","imagine","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.69332366826995,"abstract",1,"abstract-positive","Categorization"
"61","slap","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.46146817635372,"concrete",1,"concrete-negative","Categorization"
"62","puke","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.42324696353352,"concrete",1,"concrete-negative","Categorization"
"63","fulfill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.44571981938558,"concrete",0,"abstract-positive","Categorization"
"64","murder","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.36302810354046,"concrete",1,"concrete-negative","Categorization"
"65","bleed","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.46146817635372,"concrete",1,"concrete-negative","Categorization"
"66","running","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.71901315438526,"concrete",1,"concrete-positive","Categorization"
"67","scorn","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4377516497364,"concrete",0,"abstract-negative","Categorization"
"68","loathe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.0604763659998,"concrete",0,"abstract-negative","Categorization"
"69","believe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.16626597413364,"abstract",1,"abstract-positive","Categorization"
"70","criticize","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.95749737087695,"concrete",0,"abstract-negative","Categorization"
"71","admired","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68085467879022,"concrete",0,"abstract-positive","Categorization"
"72","cook","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4831073514572,"concrete",1,"concrete-positive","Categorization"
"73","swing","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.65801104587075,"concrete",1,"concrete-positive","Categorization"
"74","respect","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.45833828334479,"concrete",0,"abstract-positive","Categorization"
"75","exploit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.82546003625531,"concrete",0,"abstract-negative","Categorization"
"76","eat","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4393503711001,"concrete",1,"concrete-positive","Categorization"
"77","esteem","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.59850902861452,"abstract",1,"abstract-positive","Categorization"
"78","smack","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.50727771238501,"concrete",1,"concrete-negative","Categorization"
"79","violate","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.55819780281227,"concrete",0,"abstract-negative","Categorization"
"80","vomit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68461172766793,"concrete",1,"concrete-negative","Categorization"
"81","esteem","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.44888939414686,"concrete",0,"abstract-positive","Categorization"
"82","scorn","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.3750248198281,"concrete",0,"abstract-negative","Categorization"
"83","murder","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.38012253689976,"concrete",1,"concrete-negative","Categorization"
"84","imagine","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.66185474054531,"abstract",1,"abstract-positive","Categorization"
"85","hope","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.74051935960622,"abstract",1,"abstract-positive","Categorization"
"86","loathe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.69456205852109,"concrete",0,"abstract-negative","Categorization"
"87","stab","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.39692965521615,"concrete",1,"concrete-negative","Categorization"
"88","smack","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.40687998606931,"concrete",1,"concrete-negative","Categorization"
"89","sail","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.4085287910595,"concrete",1,"concrete-positive","Categorization"
"90","fulfill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.99942246750796,"abstract",1,"abstract-positive","Categorization"
"91","enlighten","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.60665018619822,"abstract",1,"abstract-positive","Categorization"
"92","obsess","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68210859744981,"abstract",1,"abstract-negative","Categorization"
"93","build","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.45204895443723,"concrete",1,"concrete-positive","Categorization"
"94","eat","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.24222326545517,"concrete",1,"concrete-positive","Categorization"
"95","slap","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.24804287450843,"concrete",1,"concrete-negative","Categorization"
"96","spit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.12249280951439,"concrete",1,"concrete-negative","Categorization"
"97","vomit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.3491389913798,"concrete",1,"concrete-negative","Categorization"
"98","running","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.21460809842219,"concrete",1,"concrete-positive","Categorization"
"99","worry","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",5.95842469302978,"concrete",0,"abstract-negative","Categorization"
"100","resent","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.14913159855741,"abstract",1,"abstract-negative","Categorization"
"101","smile","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.3578422665081,"concrete",1,"concrete-positive","Categorization"
"102","exploit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.67959918584438,"concrete",0,"abstract-negative","Categorization"
"103","cuddle","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.45990445437753,"concrete",1,"concrete-positive","Categorization"
"104","cook","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.5424719605068,"concrete",1,"concrete-positive","Categorization"
"105","bleed","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.33859407820318,"concrete",1,"concrete-negative","Categorization"
"106","befall","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.63331843328038,"abstract",1,"abstract-negative","Categorization"
"107","justify","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.49052940206071,"abstract",1,"abstract-positive","Categorization"
"108","puke","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.42162226780652,"concrete",1,"concrete-negative","Categorization"
"109","cherish","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.03068526026126,"concrete",0,"abstract-positive","Categorization"
"110","hug","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.3456363608286,"concrete",1,"concrete-positive","Categorization"
"111","kiss","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.30809844150953,"concrete",1,"concrete-positive","Categorization"
"112","respect","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.78784498230958,"concrete",0,"abstract-positive","Categorization"
"113","scratch","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.61338421837956,"concrete",1,"concrete-negative","Categorization"
"114","criticize","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.68210859744981,"abstract",1,"abstract-negative","Categorization"
"115","swing","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.67959918584438,"concrete",1,"concrete-positive","Categorization"
"116","violate","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",7.18462915271731,"abstract",1,"abstract-negative","Categorization"
"117","kill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.29156913955832,"concrete",1,"concrete-negative","Categorization"
"118","annoy","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.72142570079064,"abstract",1,"abstract-negative","Categorization"
"119","admired","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.63463335786169,"abstract",1,"abstract-positive","Categorization"
"120","believe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Concrete",6.58479139238572,"abstract",1,"abstract-positive","Categorization"
"121","spit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.56103066589657,"positive",0,"concrete-negative","Categorization"
"122","fulfill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.77485576666552,"positive",1,"abstract-positive","Categorization"
"123","hope","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.56526497003536,"positive",1,"abstract-positive","Categorization"
"124","justify","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.26332961747684,"positive",1,"abstract-positive","Categorization"
"125","admired","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.97166860472579,"positive",1,"abstract-positive","Categorization"
"126","puke","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.64118216974059,"negative",1,"concrete-negative","Categorization"
"127","vomit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.2803958389602,"negative",1,"concrete-negative","Categorization"
"128","eat","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.53958595561767,"positive",1,"concrete-positive","Categorization"
"129","sail","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.55677835615804,"positive",1,"concrete-positive","Categorization"
"130","hug","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.43615036836943,"positive",1,"concrete-positive","Categorization"
"131","criticize","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.4393503711001,"negative",1,"abstract-negative","Categorization"
"132","enlighten","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.62273632394984,"positive",1,"abstract-positive","Categorization"
"133","cuddle","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.13966033596492,"positive",1,"concrete-positive","Categorization"
"134","kiss","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.10167597161944,"positive",1,"concrete-positive","Categorization"
"135","bleed","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.26332961747684,"negative",1,"concrete-negative","Categorization"
"136","imagine","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.58202513889283,"positive",1,"abstract-positive","Categorization"
"137","smile","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.65286302935335,"positive",1,"concrete-positive","Categorization"
"138","swing","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.40025744530882,"positive",1,"concrete-positive","Categorization"
"139","respect","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.41818082272679,"positive",1,"abstract-positive","Categorization"
"140","build","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.7286286130847,"positive",1,"concrete-positive","Categorization"
"141","stab","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.40191719672719,"positive",0,"concrete-negative","Categorization"
"142","violate","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.65672652417839,"negative",1,"abstract-negative","Categorization"
"143","scratch","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.54821910276237,"negative",1,"concrete-negative","Categorization"
"144","cook","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.93147180559945,"positive",1,"concrete-positive","Categorization"
"145","murder","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.23128700432762,"negative",1,"concrete-negative","Categorization"
"146","esteem","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.59030104819669,"positive",1,"abstract-positive","Categorization"
"147","resent","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.82979373751242,"negative",1,"abstract-negative","Categorization"
"148","exploit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.77764659363512,"negative",1,"abstract-negative","Categorization"
"149","worry","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.87109129461055,"negative",1,"abstract-negative","Categorization"
"150","loathe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.49526555593701,"negative",1,"abstract-negative","Categorization"
"151","slap","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.88550967003482,"negative",1,"concrete-negative","Categorization"
"152","obsess","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.09506437728713,"negative",1,"abstract-negative","Categorization"
"153","scorn","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.21744343169653,"negative",1,"abstract-negative","Categorization"
"154","running","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.60800062529609,"positive",1,"concrete-positive","Categorization"
"155","kill","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.70808408385307,"negative",1,"concrete-negative","Categorization"
"156","annoy","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.31986492980897,"negative",1,"abstract-negative","Categorization"
"157","smack","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.49978704065585,"negative",1,"concrete-negative","Categorization"
"158","befall","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",7.12205988162914,"negative",1,"abstract-negative","Categorization"
"159","believe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.76619171466035,"positive",1,"abstract-positive","Categorization"
"160","cherish","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.41673228251233,"positive",1,"abstract-positive","Categorization"
"161","enlighten","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.43615036836943,"positive",1,"abstract-positive","Categorization"
"162","scorn","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.45676965557216,"negative",1,"abstract-negative","Categorization"
"163","smack","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.40522845803084,"negative",1,"concrete-negative","Categorization"
"164","esteem","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.48768401848461,"positive",1,"abstract-positive","Categorization"
"165","criticize","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.3750248198281,"negative",1,"abstract-negative","Categorization"
"166","eat","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.52356230614951,"positive",1,"concrete-positive","Categorization"
"167","hope","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.43615036836943,"positive",1,"abstract-positive","Categorization"
"168","obsess","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.40687998606931,"negative",1,"abstract-negative","Categorization"
"169","cherish","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.40357419793482,"positive",1,"abstract-positive","Categorization"
"170","murder","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.90675477864855,"negative",1,"concrete-negative","Categorization"
"171","imagine","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.41999492814714,"positive",1,"abstract-positive","Categorization"
"172","build","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.43294009273918,"positive",1,"concrete-positive","Categorization"
"173","exploit","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.44094654063292,"negative",1,"abstract-negative","Categorization"
"174","resent","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.59714570188665,"negative",1,"abstract-negative","Categorization"
"175","worry","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.35957386867238,"negative",1,"abstract-negative","Categorization"
"176","loathe","5dc47ddd034b45342d3b2e3a","Ex1a: Conc-Abs (Verbs)","Valence",6.46925031679577,"negative",1,"abstract-negative","Categorization"
