,Word,Experiment,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
115,rusted,Ex1c: Conc-Abs (Adjs),3.27,1.64,4.09,2.45,4.26,1.91
116,mindful,Ex1c: Conc-Abs (Adjs),6.7,1.3,6.0,2.7,6.76,1.71
117,freezing,Ex1c: Conc-Abs (Adjs),3.33,1.88,5.84,2.14,4.16,2.27
118,disloyal,Ex1c: Conc-Abs (Adjs),2.27,1.22,5.14,2.46,3.28,2.01
119,soulless,Ex1c: Conc-Abs (Adjs),2.71,1.68,4.76,2.32,3.72,2.56
120,evil,Ex1c: Conc-Abs (Adjs),2.34,1.61,5.67,2.93,3.6,2.62
121,starry,Ex1c: Conc-Abs (Adjs),7.4,1.5,3.96,2.49,5.59,2.47
122,female,Ex1c: Conc-Abs (Adjs),7.52,1.86,5.9,2.9,6.42,2.81
123,headless,Ex1c: Conc-Abs (Adjs),2.95,1.54,5.1,2.79,3.54,2.23
124,hairy,Ex1c: Conc-Abs (Adjs),3.8,1.28,3.5,2.35,5.22,2.41
125,crappy,Ex1c: Conc-Abs (Adjs),2.35,1.57,5.26,2.47,3.92,2.13
126,lovable,Ex1c: Conc-Abs (Adjs),8.26,0.99,5.41,2.72,6.83,2.33
127,pleasant,Ex1c: Conc-Abs (Adjs),7.24,1.51,2.91,2.52,6.7,2.0
128,bloody,Ex1c: Conc-Abs (Adjs),2.86,2.29,5.76,2.32,3.75,2.1
129,pregnant,Ex1c: Conc-Abs (Adjs),7.17,2.33,5.7,2.85,4.06,2.21
130,newborn,Ex1c: Conc-Abs (Adjs),7.48,1.69,4.96,2.86,4.89,2.83
131,human,Ex1c: Conc-Abs (Adjs),6.45,1.74,3.62,1.94,5.71,2.47
132,honest,Ex1c: Conc-Abs (Adjs),8.16,1.12,4.0,2.68,6.7,1.89
133,worthless,Ex1c: Conc-Abs (Adjs),1.89,1.41,4.45,2.91,2.71,1.72
134,possible,Ex1c: Conc-Abs (Adjs),7.14,0.99,3.71,2.1,6.0,1.77
135,divine,Ex1c: Conc-Abs (Adjs),7.15,1.42,3.05,2.33,5.96,2.31
136,dirty,Ex1c: Conc-Abs (Adjs),3.17,1.89,5.05,2.18,5.05,2.89
137,toothless,Ex1c: Conc-Abs (Adjs),2.52,1.5,4.0,2.32,3.52,2.04
138,bloodshot,Ex1c: Conc-Abs (Adjs),2.85,1.53,4.72,2.49,4.04,2.18
139,heartless,Ex1c: Conc-Abs (Adjs),2.8,1.88,4.82,2.3,5.22,2.81
140,thorny,Ex1c: Conc-Abs (Adjs),3.1,1.59,4.92,2.64,3.68,2.13
141,handmade,Ex1c: Conc-Abs (Adjs),7.11,1.85,3.62,2.2,6.36,2.1
142,lilac,Ex1c: Conc-Abs (Adjs),6.95,1.23,3.64,2.46,6.24,2.17
143,thankful,Ex1c: Conc-Abs (Adjs),7.76,1.65,4.52,2.62,6.55,1.99
144,blooming,Ex1c: Conc-Abs (Adjs),7.19,1.25,3.04,2.4,5.0,1.81
145,sunny,Ex1c: Conc-Abs (Adjs),7.95,0.89,5.38,3.09,5.11,2.51
146,helpful,Ex1c: Conc-Abs (Adjs),7.43,1.43,3.88,2.54,6.79,2.37
147,orange,Ex1c: Conc-Abs (Adjs),6.81,1.54,4.04,2.73,5.58,2.36
148,splendid,Ex1c: Conc-Abs (Adjs),7.62,1.28,3.86,2.32,6.69,2.19
149,awful,Ex1c: Conc-Abs (Adjs),2.28,1.96,4.86,2.87,3.06,1.66
150,wrinkled,Ex1c: Conc-Abs (Adjs),3.74,1.45,3.8,2.21,5.04,2.5
151,wrinkled,Ex2b: Phys-Soc (Adjs),3.74,1.45,3.8,2.21,5.04,2.5
152,stupid,Ex1c: Conc-Abs (Adjs),2.84,2.01,4.34,2.6,4.03,2.76
153,sexist,Ex1c: Conc-Abs (Adjs),3.4,2.37,5.72,2.8,4.08,2.72
154,sensible,Ex1c: Conc-Abs (Adjs),6.74,1.05,3.72,1.81,6.0,2.06
155,sinful,Ex1c: Conc-Abs (Adjs),3.37,2.39,5.76,2.34,4.09,2.58
156,rancid,Ex2b: Phys-Soc (Adjs),2.38,1.72,5.16,2.42,4.07,2.42
157,fair,Ex2b: Phys-Soc (Adjs),7.14,1.42,3.29,2.17,6.12,1.9
158,amiable,Ex2b: Phys-Soc (Adjs),6.7,1.42,2.85,1.63,6.14,2.08
159,prosperous,Ex2b: Phys-Soc (Adjs),7.16,1.8,6.0,2.11,6.76,1.35
160,soft,Ex2b: Phys-Soc (Adjs),7.13,1.66,3.04,2.46,6.1,2.56
161,arrogant,Ex2b: Phys-Soc (Adjs),2.52,1.29,5.15,2.13,4.64,2.54
162,oppressive,Ex2b: Phys-Soc (Adjs),3.05,1.22,6.24,2.21,3.43,2.39
163,cruel,Ex2b: Phys-Soc (Adjs),2.73,2.07,5.07,2.43,4.78,2.81
164,gritty,Ex2b: Phys-Soc (Adjs),3.94,2.21,4.36,2.01,4.83,1.97
165,sour,Ex2b: Phys-Soc (Adjs),3.95,1.93,4.95,2.06,4.34,2.33
166,judgmental,Ex2b: Phys-Soc (Adjs),3.0,1.41,5.05,1.72,3.79,2.15
167,slim,Ex2b: Phys-Soc (Adjs),6.63,1.61,4.26,2.07,4.47,2.29
168,brittle,Ex2b: Phys-Soc (Adjs),3.86,1.64,4.42,2.4,4.5,2.04
169,hostile,Ex2b: Phys-Soc (Adjs),2.35,1.18,5.39,2.33,4.36,2.4
170,gorgeous,Ex2b: Phys-Soc (Adjs),7.57,1.66,4.92,2.41,7.05,1.96
171,generous,Ex2b: Phys-Soc (Adjs),7.43,1.83,5.7,2.32,6.81,1.78
172,radiant,Ex2b: Phys-Soc (Adjs),7.29,1.31,5.03,2.55,6.54,1.83
173,scrawny,Ex2b: Phys-Soc (Adjs),3.89,2.13,4.26,1.81,3.61,1.69
174,sturdy,Ex2b: Phys-Soc (Adjs),6.19,1.54,3.27,1.91,6.62,1.72
175,untrustworthy,Ex2b: Phys-Soc (Adjs),2.67,2.03,4.8,2.86,4.22,2.43
176,selfish,Ex2b: Phys-Soc (Adjs),3.3,1.78,4.57,2.35,5.32,2.42
177,corrupt,Ex2b: Phys-Soc (Adjs),3.0,1.74,5.98,2.39,3.7,2.1
178,supportive,Ex2b: Phys-Soc (Adjs),6.95,1.7,3.83,2.81,6.58,2.24
179,compassionate,Ex2b: Phys-Soc (Adjs),7.95,1.22,4.73,2.69,6.86,2.14
180,moldy,Ex2b: Phys-Soc (Adjs),1.95,0.94,4.35,2.29,4.29,1.82
181,lush,Ex2b: Phys-Soc (Adjs),6.48,1.83,4.24,2.3,5.79,2.41
182,manipulative,Ex2b: Phys-Soc (Adjs),2.9,1.92,4.44,2.38,3.67,2.52
183,elegant,Ex2b: Phys-Soc (Adjs),7.0,1.2,4.43,2.59,5.95,2.1
184,polite,Ex2b: Phys-Soc (Adjs),6.57,1.93,2.95,1.86,7.4,1.7
185,fragrant,Ex2b: Phys-Soc (Adjs),7.05,1.18,4.85,2.43,6.0,2.06
186,ugly,Ex2b: Phys-Soc (Adjs),2.47,1.93,4.43,2.18,3.86,2.2
187,smooth,Ex2b: Phys-Soc (Adjs),6.42,1.77,2.76,2.02,6.26,1.88
188,trustworthy,Ex2b: Phys-Soc (Adjs),7.25,1.55,4.22,2.37,7.29,2.1
189,youthful,Ex2b: Phys-Soc (Adjs),6.89,1.97,5.68,2.5,6.0,2.28
190,sympathetic,Ex2b: Phys-Soc (Adjs),6.67,1.93,3.29,2.22,6.3,2.25
191,unjust,Ex2b: Phys-Soc (Adjs),3.16,1.57,6.33,2.2,3.05,1.65
192,obese,Ex2b: Phys-Soc (Adjs),2.32,1.25,3.95,2.46,4.22,2.86
193,clammy,Ex2b: Phys-Soc (Adjs),3.81,1.75,2.95,1.82,3.45,2.3
194,harmonious,Ex2b: Phys-Soc (Adjs),7.7,1.22,4.25,2.92,6.81,1.5
195,dishonor,Ex2a: Phys-Psych (Verbs),2.37,1.57,4.82,2.44,3.79,2.33
196,adore,Ex2a: Phys-Psych (Verbs),7.37,1.38,5.96,2.33,6.26,1.73
197,like,Ex2a: Phys-Psych (Verbs),7.44,1.46,4.4,2.5,6.28,1.45
198,caress,Ex2a: Phys-Psych (Verbs),6.82,1.45,4.6,2.7,6.38,1.86
199,decorate,Ex2a: Phys-Psych (Verbs),6.26,1.59,4.33,2.46,6.95,1.9
200,content,Ex2a: Phys-Psych (Verbs),6.7,2.05,3.17,2.64,5.92,2.57
201,dismay,Ex2a: Phys-Psych (Verbs),3.1,1.07,2.85,1.79,3.95,1.89
202,appreciate,Ex2a: Phys-Psych (Verbs),7.33,1.53,3.1,2.25,7.0,1.46
203,stain,Ex2a: Phys-Psych (Verbs),3.0,1.08,4.27,2.43,4.61,2.48
204,burn,Ex2a: Phys-Psych (Verbs),3.73,1.87,5.4,2.46,3.9,2.28
205,embarrass,Ex2a: Phys-Psych (Verbs),3.38,1.88,5.47,2.74,4.22,2.62
206,discourage,Ex2a: Phys-Psych (Verbs),3.05,1.16,3.73,2.35,3.71,1.95
207,clean,Ex2a: Phys-Psych (Verbs),7.09,1.8,3.57,2.2,6.11,2.0
