Word,V.Mean.Sum,V.SD.Sum,SUBTLWF,Valence,Concreteness,word_length,Group
irresponsible,2.5,1.4,4.65,negative,neutral,13,G
luxurious,7.58,1.95,1.12,positive,neutral,9,G
humorous,7.81,1.66,1.47,positive,neutral,8,G
talented,7.95,1.07,11.39,positive,neutral,8,G
divine,7.15,1.42,11.65,positive,abstract,6,G
abundant,7.55,1.39,0.57,positive,neutral,8,G
inoperable,2.5,1.67,0.65,negative,neutral,10,G
immoral,2.79,1.47,2.61,negative,abstract,7,G
fecal,2.4,1.14,0.59,negative,neutral,5,G
crappy,2.35,1.57,4.96,negative,abstract,6,G
scornful,2.5,1.15,0.08,negative,neutral,8,G
flattering,7.14,1.2,3.82,positive,neutral,10,G
painless,7.4,1.7,1.94,positive,neutral,8,G
unhealthy,2.55,1.47,1.63,negative,neutral,9,G
penniless,2.55,1.1,1.24,negative,neutral,9,G
sullen,2.84,1.01,0.57,negative,neutral,6,G
gory,2.57,1.66,0.73,negative,neutral,4,G
soulful,7.1,1.25,0.43,positive,neutral,7,G
elegant,7.0,1.2,6.27,positive,neutral,7,G
arrogant,2.52,1.29,5.22,negative,neutral,8,G
disgraceful,2.35,1.35,1.82,negative,abstract,11,G
festive,7.14,1.46,1.92,positive,neutral,7,G
bulimic,2.86,1.42,0.57,negative,neutral,7,G
murderous,2.05,1.67,1.82,negative,neutral,9,G
stressful,2.62,1.36,2.51,negative,abstract,9,G
itchy,2.53,1.43,2.27,negative,neutral,5,G
heavenly,7.89,1.52,5.53,positive,abstract,8,G
seasick,1.89,1.29,1.37,negative,neutral,7,G
exhilarating,7.39,1.2,1.12,positive,abstract,12,G
harmonious,7.7,1.22,0.39,positive,neutral,10,G
bossy,2.86,1.36,1.75,negative,neutral,5,G
optimum,7.38,1.77,0.65,positive,abstract,7,G
unforgivable,2.33,1.61,1.96,negative,abstract,12,G
enthusiastic,7.55,1.61,2.78,positive,neutral,12,G
bloodthirsty,2.55,1.76,0.96,negative,neutral,12,G
artistic,7.0,1.17,4.92,positive,neutral,8,G
unique,7.32,1.11,13.65,positive,abstract,6,G
illegitimate,2.79,1.23,1.33,negative,abstract,12,G
considerate,7.2,1.2,3.43,positive,abstract,11,G
